acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2020-11-16T16:01:42.171557Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T15:31:28Z,finalized,standard,276.4,2407,0,0,3904280,165.1,32.4,2022-12-19T00:32:03Z,3.0,74,100,20201116_160142_17_2407
2020-11-16T16:01:39.890939Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T15:31:27Z,finalized,standard,276.4,2407,0,0,3904280,165.1,32.3,2022-12-19T00:32:03Z,3.0,77,100,20201116_160139_89_2407
2020-11-16T16:01:37.610321Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T15:31:25Z,finalized,standard,276.1,2407,0,0,3904280,165.2,32.1,2022-12-19T00:32:03Z,3.0,99,100,20201116_160137_61_2407
2020-12-30T15:58:00.016333Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T13:47:02Z,finalized,standard,269.9,2406,0,0,4029453,161.4,27.3,2022-12-17T09:56:58Z,1.0,80,100,20201230_155800_01_2406
2020-12-10T15:57:53.520022Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T10:25:55Z,finalized,test,100.8,2403,0,0,3975047,163.8,28.1,2022-12-18T02:56:07Z,4.0,65,100,20201210_155753_52_2403
2020-12-08T15:14:21.314304Z,0,98,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T10:19:40Z,finalized,standard,278.3,2279,0,0,3969285,153.1,25.0,2022-12-17T13:52:12Z,4.8,80,100,20201208_151421_31_2279
2020-12-06T15:15:57.060369Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:49:12Z,finalized,standard,276.5,225a,0,0,3962991,153.1,25.0,2022-12-18T23:27:59Z,3.0,72,100,20201206_151557_06_225a
2020-12-06T15:15:54.776484Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:49:11Z,finalized,standard,276.4,225a,0,0,3962991,153.2,24.9,2022-12-18T23:27:59Z,3.0,98,100,20201206_151554_77_225a
2020-12-03T15:12:41.850087Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:27:36Z,finalized,standard,101.4,2280,0,0,3954349,153.1,25.9,2022-12-18T01:19:00Z,2.9,99,100,20201203_151241_85_2280
2020-12-03T15:12:39.590897Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:27:33Z,finalized,standard,101.4,2280,0,0,3954349,153.2,25.7,2022-12-18T01:19:00Z,2.9,99,100,20201203_151239_59_2280
2020-12-03T15:12:37.331707Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:27:31Z,finalized,standard,101.5,2280,0,0,3954349,153.2,25.6,2022-12-18T01:19:00Z,3.0,99,100,20201203_151237_33_2280
2020-12-03T15:12:35.072517Z,0,99,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T09:27:29Z,finalized,standard,101.5,2280,0,0,3954349,153.3,25.5,2022-12-18T01:19:00Z,3.0,99,100,20201203_151235_07_2280
2020-11-24T15:59:34.669019Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-03-18T08:20:33Z,finalized,standard,277.7,2406,0,0,3928206,164.9,30.6,2022-12-18T09:50:39Z,4.6,79,100,20201124_155934_66_2406
