acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2022-04-24T14:52:50.55688Z,0,93,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-06T09:11:27Z,finalized,standard,101.3,241f,0,0,5594156,121.8,52.9,2023-10-06T09:11:27Z,4.0,93,100,20220424_145250_55_241f
2022-04-22T15:25:28.667932Z,0,93,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-06T01:39:03Z,finalized,standard,101.1,249a,0,0,5588992,133.9,56.9,2023-10-06T01:39:03Z,4.9,93,100,20220422_152528_66_249a
2022-04-20T14:52:02.06017Z,0,96,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-05T18:01:25Z,finalized,standard,100.7,2420,0,0,5584493,122.7,51.5,2023-10-05T18:01:25Z,5.1,96,100,20220420_145202_06_2420
2022-04-08T15:25:23.574112Z,0,95,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-04T04:39:22Z,finalized,standard,100.6,247e,0,0,5556300,137.6,52.3,2023-10-04T04:39:22Z,5.0,95,100,20220408_152523_57_247e
2022-04-08T15:25:25.88728Z,0,94,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-04T04:39:07Z,finalized,standard,100.5,247e,0,0,5556300,137.4,52.4,2023-10-04T04:39:07Z,5.0,94,100,20220408_152525_88_247e
2022-05-31T15:28:44.374125Z,0,92,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-05-22T16:59:46Z,finalized,test,278.1,2499,0,0,5675510,121.5,64.1,2023-05-22T16:59:46Z,5.0,77,100,20220531_152844_37_2499
2022-05-29T15:24:26.707821Z,0,96,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-05-22T07:42:29Z,finalized,test,102.4,24a4,0,0,5670327,120.0,64.3,2023-05-22T07:42:29Z,3.0,79,100,20220529_152426_70_24a4
2022-05-20T15:24:21.281359Z,0,73,99,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2023-05-20T18:00:02Z,finalized,test,102.9,2480,0,0,5648859,123.2,63.4,2023-05-20T18:00:02Z,3.0,55,100,20220520_152421_28_2480
2022-05-20T15:28:39.517606Z,0,62,98,0,0,True,4.0,0,PSB.SD,PSScene,1,3,planetscope,2023-05-20T17:13:01Z,finalized,standard,276.3,24a3,0,0,5648348,124.5,63.2,2023-05-20T17:13:01Z,3.1,52,100,20220520_152839_51_24a3
2022-05-20T15:28:44.099456Z,0,64,96,0,0,True,4.0,0,PSB.SD,PSScene,4,3,planetscope,2023-05-20T17:12:44Z,finalized,standard,276.1,24a3,0,0,5648348,123.9,63.3,2023-05-20T17:12:44Z,3.1,56,100,20220520_152844_09_24a3
