_links,_permissions,assets,geometry,id,properties,type
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231014_230331_98_24ce', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231014_230331_98_24ce/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20231014_230331_98_24ce/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.55103052508022, -31.73661545976408], [152.49253620935758, -31.92031249048542], [152.85528845790986, -32.004529760215284], [152.9123288625964, -31.821749425025], [152.55103052508022, -31.73661545976408]]], 'type': 'Polygon'}",20231014_230331_98_24ce,"{'acquired': '2023-10-14T23:03:31.984698Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 91, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': False, 'gsd': 4, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-03-05T07:19:36Z', 'publishing_stage': 'preview', 'quality_category': 'test', 'satellite_azimuth': 97.2, 'satellite_id': '24ce', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '6835761', 'sun_azimuth': 64.2, 'sun_elevation': 47.6, 'updated': '2024-03-05T07:19:36Z', 'view_angle': 5, 'visible_confidence_percent': 91, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240229_235613_57_2495', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240229_235613_57_2495/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240229_235613_57_2495/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.5195658715559, -31.76573439467744], [152.4788783499458, -31.931155353765803], [152.8037149053908, -31.988603119292268], [152.8436166141961, -31.823350438675156], [152.5195658715559, -31.76573439467744]]], 'type': 'Polygon'}",20240229_235613_57_2495,"{'acquired': '2024-02-29T23:56:13.57434Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 92, 'clear_percent': 98, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 2, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-03-01T03:27:50Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 87, 'satellite_id': '2495', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7142549', 'sun_azimuth': 56.8, 'sun_elevation': 52, 'updated': '2024-03-01T09:57:59Z', 'view_angle': 0.8, 'visible_confidence_percent': 79, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240225_231338_15_2439', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240225_231338_15_2439/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240225_231338_15_2439/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.37037506472208, -31.64127537118533], [152.3292309563584, -31.803415303350995], [152.64775762984462, -31.86038171949671], [152.68779225966017, -31.699277884865577], [152.37037506472208, -31.64127537118533]]], 'type': 'Polygon'}",20240225_231338_15_2439,"{'acquired': '2024-02-25T23:13:38.15211Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 96, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-26T01:05:49Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.4, 'satellite_id': '2439', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7133016', 'sun_azimuth': 68.9, 'sun_elevation': 45, 'updated': '2024-02-26T08:50:06Z', 'view_angle': 5, 'visible_confidence_percent': 78, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240225_231340_08_2439', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240225_231340_08_2439/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240225_231340_08_2439/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.33871385078353, -31.76465223362965], [152.2978345822014, -31.926878288044932], [152.61688900465455, -31.983928958393307], [152.6567771291323, -31.822797738976444], [152.33871385078353, -31.76465223362965]]], 'type': 'Polygon'}",20240225_231340_08_2439,"{'acquired': '2024-02-25T23:13:40.089858Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 97, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-26T01:05:24Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.3, 'satellite_id': '2439', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7133016', 'sun_azimuth': 68.8, 'sun_elevation': 44.9, 'updated': '2024-02-26T08:50:06Z', 'view_angle': 5, 'visible_confidence_percent': 97, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231227_000149_33_24cd', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231227_000149_33_24cd/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20231227_000149_33_24cd/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.3678458321871, -31.707689558956773], [152.31909829151724, -31.898569689596926], [152.69403642043488, -31.96700261885663], [152.7416271211611, -31.77673510335996], [152.3678458321871, -31.707689558956773]]], 'type': 'Polygon'}",20231227_000149_33_24cd,"{'acquired': '2023-12-27T00:01:49.335285Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 96, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 4.1, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-21T21:42:06Z', 'publishing_stage': 'finalized', 'quality_category': 'test', 'satellite_azimuth': 95.8, 'satellite_id': '24cd', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '6996385', 'sun_azimuth': 77, 'sun_elevation': 64.8, 'updated': '2024-02-21T21:42:06Z', 'view_angle': 2.8, 'visible_confidence_percent': 96, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231127_000045_92_24f6', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231127_000045_92_24f6/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20231127_000045_92_24f6/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.550335089863, -31.787955503725097], [152.50136255383887, -31.978439635687536], [152.87645866741158, -32.04690822731268], [152.92424050871503, -31.857397327365177], [152.550335089863, -31.787955503725097]]], 'type': 'Polygon'}",20231127_000045_92_24f6,"{'acquired': '2023-11-27T00:00:45.925652Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 4.1, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-20T19:28:14Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.3, 'satellite_id': '24f6', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '6926080', 'sun_azimuth': 68.2, 'sun_elevation': 66.4, 'updated': '2024-02-20T19:28:14Z', 'view_angle': 4.6, 'visible_confidence_percent': 95, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231127_000043_58_24f6', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20231127_000043_58_24f6/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20231127_000043_58_24f6/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.58819885528024, -31.641722005915714], [152.53918177646014, -31.83211894030054], [152.9134829672282, -31.900622469428807], [152.96134305628928, -31.711134322653162], [152.58819885528024, -31.641722005915714]]], 'type': 'Polygon'}",20231127_000043_58_24f6,"{'acquired': '2023-11-27T00:00:43.586677Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 4.1, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-20T19:28:14Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.3, 'satellite_id': '24f6', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '6926080', 'sun_azimuth': 68.4, 'sun_elevation': 66.5, 'updated': '2024-02-20T19:28:14Z', 'view_angle': 4.6, 'visible_confidence_percent': 95, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240217_230905_51_24c4', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240217_230905_51_24c4/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240217_230905_51_24c4/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.50593654942134, -31.873386750455037], [152.46280519203677, -32.050411769362874], [152.81328898031654, -32.1122579002657], [152.85604514836322, -31.934110407406322], [152.50593654942134, -31.873386750455037]]], 'type': 'Polygon'}",20240217_230905_51_24c4,"{'acquired': '2024-02-17T23:09:05.519266Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 93, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.8, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-18T01:10:07Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 280.4, 'satellite_id': '24c4', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7115673', 'sun_azimuth': 73.8, 'sun_elevation': 45, 'updated': '2024-02-18T10:01:17Z', 'view_angle': 4.9, 'visible_confidence_percent': 93, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240217_230903_36_24c4', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240217_230903_36_24c4/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240217_230903_36_24c4/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.53848635126087, -31.73796941664531], [152.4956612495087, -31.914913400597683], [152.8457472709806, -31.976889078042504], [152.88839703502643, -31.79871412168816], [152.53848635126087, -31.73796941664531]]], 'type': 'Polygon'}",20240217_230903_36_24c4,"{'acquired': '2024-02-17T23:09:03.369877Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.8, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-18T01:05:57Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 280.4, 'satellite_id': '24c4', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7115673', 'sun_azimuth': 73.9, 'sun_elevation': 45, 'updated': '2024-02-18T09:59:26Z', 'view_angle': 4.9, 'visible_confidence_percent': 94, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240213_235223_70_248b', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240213_235223_70_248b/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240213_235223_70_248b/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[152.58809464345728, -31.895569709424635], [152.54684282036777, -32.061459797310114], [152.87374322766308, -32.12016337703417], [152.91471912447417, -31.953830222060276], [152.58809464345728, -31.895569709424635]]], 'type': 'Polygon'}",20240213_235223_70_248b,"{'acquired': '2024-02-13T23:52:23.709218Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-14T04:16:47Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 288.4, 'satellite_id': '248b', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7107106', 'sun_azimuth': 65.6, 'sun_elevation': 54.6, 'updated': '2024-02-14T09:58:14Z', 'view_angle': 1, 'visible_confidence_percent': 73, 'visible_percent': 100}",Feature
