acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2021-01-30T15:54:12.051885Z,0,95,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T23:45:34Z,finalized,standard,101.7,2416,0,0,4115379,156.4,32.0,2022-12-14T23:45:34Z,4.0,70,100,20210130_155412_05_2416
2021-01-15T15:11:36.294544Z,0,94,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T05:39:25Z,finalized,standard,104.0,2251,0,0,4072980,148.2,25.0,2022-12-13T05:39:25Z,2.1,67,100,20210115_151136_29_2251
2021-12-26T15:00:19.73755Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-27T01:28:58Z,finalized,standard,102.2,2420,0,0,5228768,148.3,22.2,2022-11-01T07:51:56Z,3.0,72,100,20211226_150019_73_2420
2021-12-26T15:00:17.43759Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-27T01:28:58Z,finalized,standard,102.3,2420,0,0,5228768,148.4,22.1,2022-11-01T07:51:56Z,3.0,76,100,20211226_150017_43_2420
2021-12-26T15:17:15.217603Z,0,98,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2021-12-27T00:38:36Z,finalized,standard,111.4,2231,0,0,5229352,152.4,23.9,2022-11-02T12:03:51Z,1.0,98,100,20211226_151715_21_2231
2021-12-26T15:00:22.03751Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-26T22:44:43Z,finalized,standard,102.1,2420,0,0,5228768,148.3,22.3,2022-11-01T07:51:56Z,2.9,70,100,20211226_150022_03_2420
2021-12-23T15:02:23.724639Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:41:20Z,finalized,standard,271.0,2439,0,0,5219161,149.1,22.9,2022-11-02T10:35:43Z,1.0,98,100,20211223_150223_72_2439
2021-12-23T15:02:21.425719Z,0,97,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:41:20Z,finalized,standard,270.8,2439,0,0,5219161,149.2,22.8,2022-11-02T10:35:43Z,1.0,75,100,20211223_150221_42_2439
2021-12-23T15:02:19.126799Z,0,96,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:41:20Z,finalized,standard,270.2,2439,0,0,5219161,149.2,22.7,2022-11-02T10:35:43Z,1.0,75,100,20211223_150219_12_2439
2021-12-23T15:02:16.827879Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:41:19Z,finalized,standard,269.8,2439,0,0,5219161,149.3,22.5,2022-11-02T10:35:43Z,1.0,98,100,20211223_150216_82_2439
2021-12-23T15:13:40.169108Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:21:06Z,finalized,standard,108.1,2262,0,0,5219322,151.5,23.8,2022-10-29T03:23:45Z,0.9,71,100,20211223_151340_16_2262
2021-12-23T15:13:37.88007Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:21:06Z,finalized,standard,108.1,2262,0,0,5219322,151.5,23.7,2022-10-29T03:23:44Z,0.9,73,100,20211223_151337_88_2262
2021-12-23T15:13:35.591031Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-24T01:21:06Z,finalized,standard,108.4,2262,0,0,5219322,151.6,23.5,2022-10-29T03:23:44Z,0.9,77,100,20211223_151335_59_2262
2021-12-22T15:48:13.700844Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-23T04:51:42Z,finalized,test,269.4,2307,0,0,5216327,159.9,26.6,2021-12-23T09:58:40Z,1.0,73,100,20211222_154813_70_2307
2021-12-22T15:48:11.396204Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-23T04:51:42Z,finalized,test,268.5,2307,0,0,5216327,160.0,26.5,2021-12-23T09:58:17Z,0.9,74,100,20211222_154811_39_2307
2021-12-22T15:48:09.091563Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-23T04:51:42Z,finalized,test,268.5,2307,0,0,5216327,160.0,26.3,2021-12-23T09:58:25Z,0.9,78,100,20211222_154809_09_2307
2021-12-22T15:50:58.784297Z,0,97,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-23T02:56:45Z,finalized,standard,274.1,2413,0,0,5215939,160.8,26.8,2022-11-03T10:58:04Z,2.0,70,100,20211222_155058_78_2413
2021-12-22T15:50:56.490057Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-23T02:56:44Z,finalized,standard,274.3,2413,0,0,5215939,160.8,26.7,2022-11-03T10:58:04Z,2.0,77,100,20211222_155056_49_2413
2021-12-20T15:49:09.609509Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-20T23:01:20Z,finalized,standard,276.6,2416,0,0,5209247,160.1,26.7,2022-11-04T04:59:53Z,3.0,99,100,20211220_154909_60_2416
2021-12-20T15:49:07.304868Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-20T23:01:20Z,finalized,standard,276.6,2416,0,0,5209247,160.2,26.6,2022-11-04T04:59:53Z,3.0,99,100,20211220_154907_30_2416
2021-12-20T15:49:05.000228Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-20T23:01:20Z,finalized,standard,276.6,2416,0,0,5209247,160.2,26.5,2022-11-04T04:59:52Z,3.0,73,100,20211220_154905_00_2416
2021-12-20T15:49:02.695588Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-20T23:01:20Z,finalized,standard,276.6,2416,0,0,5209247,160.3,26.4,2022-11-04T04:59:52Z,3.0,99,100,20211220_154902_69_2416
2021-12-16T15:08:50.631847Z,0,97,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-17T01:48:30Z,finalized,standard,101.0,225a,0,0,5196810,152.0,24.3,2022-11-02T04:00:33Z,5.0,73,100,20211216_150850_63_225a
2021-12-16T15:00:57.034251Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-17T00:43:04Z,finalized,standard,101.2,2464,0,0,5196763,149.6,23.1,2022-10-28T09:42:20Z,4.0,73,100,20211216_150057_03_2464
2021-12-16T15:00:54.734292Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-17T00:43:04Z,finalized,standard,100.8,2464,0,0,5196763,149.7,22.9,2022-10-28T09:42:20Z,4.0,75,100,20211216_150054_73_2464
2021-12-16T15:00:52.434332Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-17T00:43:04Z,finalized,standard,100.7,2464,0,0,5196763,149.7,22.8,2022-10-28T09:42:20Z,4.0,78,100,20211216_150052_43_2464
2021-12-16T15:02:55.982719Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-16T21:05:17Z,finalized,standard,277.5,2448,0,0,5196408,149.6,23.1,2022-10-28T09:19:57Z,5.0,99,100,20211216_150255_98_2448
2021-12-16T15:02:53.683799Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-16T21:05:17Z,finalized,standard,277.6,2448,0,0,5196408,149.7,23.0,2022-10-28T09:19:57Z,5.1,79,100,20211216_150253_68_2448
2021-12-16T15:02:51.384879Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-16T21:05:17Z,finalized,standard,277.6,2448,0,0,5196408,149.7,22.9,2022-10-28T09:19:57Z,5.0,98,100,20211216_150251_38_2448
2021-12-16T15:02:49.085959Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-16T21:05:17Z,finalized,standard,277.7,2448,0,0,5196408,149.8,22.8,2022-10-28T09:19:57Z,5.0,99,100,20211216_150249_08_2448
2021-12-15T15:47:51.865338Z,0,97,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T23:19:13Z,finalized,test,107.5,240a,0,0,5193369,160.8,27.2,2022-10-30T17:12:56Z,1.1,69,100,20211215_154751_86_240a
2021-12-15T15:47:49.516243Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T23:19:13Z,finalized,test,107.7,240a,0,0,5193369,160.8,27.0,2022-10-30T17:12:56Z,1.1,98,100,20211215_154749_51_240a
2021-12-15T15:47:47.16715Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T23:19:13Z,finalized,test,107.5,240a,0,0,5193369,160.9,26.9,2022-10-30T17:12:55Z,1.1,75,100,20211215_154747_16_240a
2021-12-15T15:47:44.818056Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T23:19:13Z,finalized,test,107.2,240a,0,0,5193369,160.9,26.8,2022-10-30T17:12:55Z,1.1,76,100,20211215_154744_81_240a
2021-12-14T15:02:13.950107Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T02:59:05Z,finalized,standard,276.5,241f,0,0,5190149,149.9,23.3,2022-10-28T17:33:29Z,3.0,79,100,20211214_150213_95_241f
2021-12-14T15:02:16.249546Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T00:46:11Z,finalized,standard,276.4,241f,0,0,5190149,149.8,23.4,2022-10-28T17:33:29Z,3.0,76,100,20211214_150216_24_241f
2021-12-14T15:02:11.650669Z,0,98,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T00:46:11Z,finalized,standard,276.7,241f,0,0,5190149,149.9,23.2,2022-10-28T17:33:29Z,3.0,77,100,20211214_150211_65_241f
2021-12-14T15:02:09.35123Z,0,99,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2021-12-15T00:46:11Z,finalized,standard,276.8,241f,0,0,5190149,150.0,23.1,2022-10-28T17:33:29Z,3.0,99,100,20211214_150209_35_241f
2021-12-14T15:02:24.286883Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T23:51:53Z,finalized,standard,106.4,241e,0,0,5190020,150.0,23.4,2022-11-01T10:13:00Z,1.0,99,100,20211214_150224_28_241e
2021-12-14T15:02:21.987963Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T23:51:53Z,finalized,standard,107.4,241e,0,0,5190020,150.1,23.3,2022-11-01T10:13:00Z,1.0,98,100,20211214_150221_98_241e
2021-12-14T15:02:19.689043Z,0,98,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T23:51:53Z,finalized,standard,106.9,241e,0,0,5190020,150.1,23.2,2022-11-01T10:13:00Z,1.0,71,100,20211214_150219_68_241e
2021-12-14T15:02:17.390123Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T23:51:53Z,finalized,standard,107.1,241e,0,0,5190020,150.2,23.1,2022-11-01T10:12:59Z,1.0,99,100,20211214_150217_39_241e
2021-12-14T15:18:43.997621Z,0,98,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T23:39:45Z,finalized,standard,101.4,222f,0,0,5190185,153.9,24.6,2023-09-30T21:01:00Z,4.0,70,100,20211214_151843_99_222f
2021-12-13T15:52:52.198715Z,0,99,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2021-12-14T03:27:21Z,finalized,standard,277.5,2414,0,0,5187649,161.5,27.4,2022-11-01T02:49:16Z,4.0,81,100,20211213_155252_19_2414
