acquired,anomalous_pixels,cloud_cover,ground_control,gsd,instrument,item_type,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,strip_id,sun_azimuth,sun_elevation,updated,view_angle,id
2015-12-19T17:06:23.646608Z,0,0,True,3.0,PS2,PSScene,3,planetscope,2020-10-31T07:53:28Z,finalized,test,180.0,0c07,115232,180.2,30.0,2020-10-31T07:53:28Z,5.6,20151219_170623_0c07
2015-12-19T17:06:26.647774Z,0,0,True,3.0,PS2,PSScene,3,planetscope,2020-10-31T07:53:04Z,finalized,test,180.0,0c07,115232,180.4,29.8,2020-10-31T07:53:04Z,5.6,20151219_170626_0c07
2015-12-19T17:06:35.642647Z,0,0,True,3.0,PS2,PSScene,3,planetscope,2020-10-31T07:53:00Z,finalized,test,180.0,0c07,115232,181.0,29.5,2020-10-31T07:53:00Z,5.5,20151219_170635_0c07
2015-12-19T17:06:34.142832Z,0,0,True,3.0,PS2,PSScene,3,planetscope,2020-10-31T07:52:59Z,finalized,test,180.0,0c07,115232,180.9,29.5,2020-10-31T07:52:59Z,5.5,20151219_170634_0c07
2015-12-19T17:06:25.14813Z,0,0,True,3.0,PS2,PSScene,3,planetscope,2020-10-31T07:52:53Z,finalized,test,180.0,0c07,115232,180.3,29.9,2020-10-31T07:52:53Z,5.6,20151219_170625_0c07
2015-12-16T18:35:49.116841Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:47Z,finalized,test,168.7,0c68,114502,205.0,24.6,2020-10-31T07:40:47Z,12.9,20151216_183549_0c68
2015-12-16T18:35:29.619706Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:37Z,finalized,test,180.0,0c68,114502,203.9,25.7,2020-10-31T07:40:37Z,12.9,20151216_183529_0c68
2015-12-16T18:35:37.120586Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:31Z,finalized,test,139.8,0c68,114502,204.3,25.3,2020-10-31T07:40:31Z,13.0,20151216_183537_0c68
2015-12-16T18:35:16.699946Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:24Z,finalized,test,180.0,0c53,113543,203.4,26.3,2020-10-31T07:40:24Z,3.0,20151216_183516_0c53
2015-12-16T18:35:45.201839Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:22Z,finalized,test,159.2,0c53,113543,204.9,24.6,2020-10-31T07:40:22Z,2.7,20151216_183545_0c53
2015-12-16T18:35:22.698563Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:22Z,finalized,test,180.0,0c53,113543,203.7,26.0,2020-10-31T07:40:22Z,2.9,20151216_183522_0c53
2015-12-16T18:35:41.621513Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:17Z,finalized,test,174.7,0c68,114502,204.6,25.1,2020-10-31T07:40:17Z,12.9,20151216_183541_0c68
2015-12-16T18:35:27.197445Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:14Z,finalized,test,180.0,0c53,113543,204.0,25.7,2020-10-31T07:40:14Z,2.9,20151216_183527_0c53
2015-12-16T18:35:25.698726Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:14Z,finalized,test,180.0,0c53,113543,203.9,25.8,2020-10-31T07:40:14Z,2.9,20151216_183525_0c53
2015-12-16T18:35:34.120876Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:09Z,finalized,test,155.6,0c68,114502,204.2,25.5,2020-10-31T07:40:09Z,12.9,20151216_183534_0c68
2015-12-16T18:35:52.121683Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:06Z,finalized,test,164.5,0c68,114502,205.1,24.4,2020-10-31T07:40:06Z,12.9,20151216_183552_0c68
2015-12-16T18:35:31.69648Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:04Z,finalized,test,173.1,0c53,113543,204.2,25.4,2020-10-31T07:40:04Z,2.9,20151216_183531_0c53
2015-12-16T18:35:43.69644Z,0,0,True,3.1,PS2,PSScene,3,planetscope,2020-10-31T07:40:01Z,finalized,test,180.0,0c53,113543,204.8,24.7,2020-10-31T07:40:01Z,2.8,20151216_183543_0c53
