acquired,anomalous_pixels,cloud_cover,ground_control,gsd,instrument,item_type,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,strip_id,sun_azimuth,sun_elevation,updated,view_angle,clear_confidence_percent,clear_percent,cloud_percent,heavy_haze_percent,light_haze_percent,shadow_percent,snow_ice_percent,visible_confidence_percent,visible_percent,id
2016-09-24T15:06:04.616777Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:20:46Z,finalized,standard,183.8,0e16,249487,138.8,43.2,2021-02-06T15:20:46Z,0.8,,,,,,,,,,20160924_150604_0e16
2016-09-24T15:06:03.476665Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:20:46Z,finalized,standard,188.7,0e16,249487,138.9,43.2,2021-02-06T15:20:46Z,0.8,,,,,,,,,,20160924_150603_0e16
2016-09-24T15:07:05.652818Z,0,0,True,4.1,PS2,PSScene,3,planetscope,2021-02-06T15:19:55Z,finalized,standard,177.1,0e2f,249596,138.3,43.6,2021-02-06T15:19:55Z,0.8,,,,,,,,,,20160924_150705_0e2f
2016-09-24T15:07:04.558061Z,0,0,True,4.1,PS2,PSScene,3,planetscope,2021-02-06T15:19:55Z,finalized,standard,192.1,0e2f,249596,138.4,43.5,2021-02-06T15:19:55Z,0.8,,,,,,,,,,20160924_150704_0e2f
2016-09-24T15:07:03.461506Z,0,0,True,4.1,PS2,PSScene,3,planetscope,2021-02-06T15:19:55Z,finalized,standard,181.1,0e2f,249596,138.4,43.5,2021-02-06T15:19:55Z,0.8,,,,,,,,,,20160924_150703_0e2f
2016-09-24T15:06:57.987978Z,0,0,True,4.1,PS2,PSScene,3,planetscope,2021-02-06T15:19:55Z,finalized,standard,193.7,0e2f,249596,138.7,43.3,2021-02-06T15:19:55Z,0.8,,,,,,,,,,20160924_150657_0e2f
2016-09-24T15:06:59.08539Z,0,0,True,4.1,PS2,PSScene,3,planetscope,2021-02-06T15:19:54Z,finalized,standard,170.1,0e2f,249596,138.7,43.3,2021-02-06T15:19:54Z,0.9,,,,,,,,,,20160924_150659_0e2f
2016-09-24T15:06:14.859313Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:48Z,finalized,standard,190.4,0e16,249487,138.3,43.6,2023-06-18T23:52:29Z,0.8,97.0,100.0,0.0,0.0,0.0,0.0,0.0,68.0,100.0,20160924_150614_0e16
2016-09-24T15:06:13.719178Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:48Z,finalized,standard,199.1,0e16,249487,138.3,43.6,2021-02-06T15:19:48Z,0.8,,,,,,,,,,20160924_150613_0e16
2016-09-24T15:06:08.034129Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:48Z,finalized,standard,191.7,0e16,249487,138.6,43.3,2021-02-06T15:19:48Z,0.8,,,,,,,,,,20160924_150608_0e16
2016-09-24T15:06:05.756762Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:48Z,finalized,standard,193.4,0e16,249487,138.8,43.3,2021-02-06T15:19:48Z,0.8,,,,,,,,,,20160924_150605_0e16
2016-09-24T15:06:02.336449Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:48Z,finalized,standard,203.7,0e16,249487,138.9,43.1,2021-02-06T15:19:48Z,0.8,,,,,,,,,,20160924_150602_0e16
2016-09-24T15:06:19.402Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:47Z,finalized,standard,208.1,0e16,249487,138.0,43.8,2021-02-06T15:19:47Z,0.8,,,,,,,,,,20160924_150619_0e16
2016-09-24T15:06:17.134221Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:47Z,finalized,standard,182.2,0e16,249487,138.1,43.7,2021-02-06T15:19:47Z,0.8,,,,,,,,,,20160924_150617_0e16
2016-09-24T15:06:15.994523Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:47Z,finalized,standard,185.6,0e16,249487,138.2,43.7,2021-02-06T15:19:47Z,0.8,,,,,,,,,,20160924_150615_0e16
2016-09-24T15:06:06.893622Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:47Z,finalized,standard,192.0,0e16,249487,138.7,43.3,2021-02-06T15:19:47Z,0.8,,,,,,,,,,20160924_150606_0e16
2016-09-24T15:06:20.537977Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:43Z,finalized,standard,218.5,0e16,249487,137.9,43.8,2021-02-06T15:19:43Z,0.8,,,,,,,,,,20160924_150620_0e16
2016-09-24T15:06:25.09032Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:42Z,finalized,standard,196.7,0e16,249487,137.7,44.0,2021-02-06T15:19:42Z,0.8,,,,,,,,,,20160924_150625_0e16
2016-09-24T15:06:23.958038Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:42Z,finalized,standard,207.7,0e16,249487,137.8,44.0,2023-08-28T14:19:50Z,0.8,97.0,100.0,0.0,0.0,0.0,0.0,0.0,97.0,100.0,20160924_150623_0e16
2016-09-24T15:06:18.273587Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:42Z,finalized,standard,180.1,0e16,249487,138.1,43.8,2021-02-06T15:19:42Z,0.8,,,,,,,,,,20160924_150618_0e16
2016-09-24T15:06:12.585227Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:42Z,finalized,standard,196.2,0e16,249487,138.4,43.5,2023-06-19T00:26:37Z,0.8,97.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,20160924_150612_0e16
2016-09-24T15:06:11.447216Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:42Z,finalized,standard,209.0,0e16,249487,138.4,43.5,2023-06-17T18:49:56Z,0.8,98.0,100.0,0.0,0.0,0.0,0.0,0.0,76.0,100.0,20160924_150611_0e16
2016-09-24T15:06:26.23513Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:41Z,finalized,standard,179.5,0e16,249487,137.6,44.1,2021-02-06T15:19:41Z,0.8,,,,,,,,,,20160924_150626_0e16
2016-09-24T15:06:22.810077Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:41Z,finalized,standard,203.4,0e16,249487,137.8,43.9,2021-02-06T15:19:41Z,0.8,,,,,,,,,,20160924_150622_0e16
2016-09-24T15:06:21.682029Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:41Z,finalized,standard,207.7,0e16,249487,137.9,43.9,2021-02-06T15:19:41Z,0.8,,,,,,,,,,20160924_150621_0e16
2016-09-24T15:06:10.310235Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:41Z,finalized,standard,221.5,0e16,249487,138.5,43.4,2021-02-06T15:19:41Z,0.8,,,,,,,,,,20160924_150610_0e16
2016-09-24T15:06:09.167999Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T15:19:41Z,finalized,standard,230.1,0e16,249487,138.6,43.4,2021-02-06T15:19:41Z,0.8,,,,,,,,,,20160924_150609_0e16
2016-10-17T14:58:10.081739Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:50Z,preview,test,173.4,0e30,270375,145.9,36.8,2021-02-06T02:24:50Z,0.2,,,,,,,,,,20161017_145810_0e30
2016-10-17T14:58:08.961904Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:45Z,preview,test,174.5,0e30,270375,146.0,36.7,2021-02-06T02:24:45Z,0.2,,,,,,,,,,20161017_145808_0e30
2016-10-17T14:58:21.280089Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:28Z,preview,test,167.2,0e30,270375,145.5,37.3,2021-02-06T02:24:28Z,0.2,,,,,,,,,,20161017_145821_0e30
2016-10-17T14:58:12.321409Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:23Z,preview,test,176.7,0e30,270375,145.8,36.9,2021-02-06T02:24:23Z,0.2,,,,,,,,,,20161017_145812_0e30
2016-10-17T14:58:11.201574Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:21Z,preview,test,170.0,0e30,270375,145.9,36.8,2021-02-06T02:24:21Z,0.2,,,,,,,,,,20161017_145811_0e30
2016-10-17T14:58:20.160254Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:24:05Z,preview,test,180.7,0e30,270375,145.5,37.2,2021-02-06T02:24:05Z,0.2,,,,,,,,,,20161017_145820_0e30
2016-10-17T14:58:22.399924Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:22:30Z,preview,test,167.8,0e30,270375,145.4,37.3,2021-02-06T02:22:30Z,0.2,,,,,,,,,,20161017_145822_0e30
2016-10-17T14:58:16.800749Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:20:48Z,preview,test,177.7,0e30,270375,145.6,37.1,2021-02-06T02:20:48Z,0.2,,,,,,,,,,20161017_145816_0e30
2016-10-17T15:02:06.35133Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:20:28Z,finalized,standard,166.9,0e0e,270221,146.2,36.4,2021-02-06T02:20:28Z,0.3,,,,,,,,,,20161017_150206_0e0e
2016-10-17T15:02:01.86919Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:20:26Z,finalized,standard,176.8,0e0e,270221,146.4,36.2,2021-02-06T02:20:26Z,0.3,,,,,,,,,,20161017_150201_0e0e
2016-10-17T15:02:14.195075Z,0,0,True,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:20:09Z,finalized,standard,164.0,0e0e,270221,145.9,36.8,2023-06-27T22:01:24Z,0.3,90.0,100.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,20161017_150214_0e0e
2016-10-17T14:58:17.920584Z,0,0,False,4.0,PS2,PSScene,3,planetscope,2021-02-06T02:20:05Z,preview,test,177.0,0e30,270375,145.6,37.1,2021-02-06T02:20:05Z,0.2,,,,,,,,,,20161017_145817_0e30
