acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2022-04-24T15:21:28.13058Z,0,92,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:25:24Z,preview,test,100.9,24a5,0,0,5593797,131.4,58.1,2023-10-09T08:25:24Z,5.0,92,100,20220424_152128_13_24a5
2022-04-24T15:21:30.443539Z,0,92,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:24:52Z,preview,test,100.9,24a5,0,0,5593797,131.1,58.2,2023-10-09T08:24:52Z,5.0,92,100,20220424_152130_44_24a5
2022-04-24T15:21:21.191703Z,0,91,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:24:13Z,preview,test,100.9,24a5,0,0,5593797,132.0,57.9,2023-10-09T08:24:13Z,5.0,91,100,20220424_152121_19_24a5
2022-04-24T15:21:23.504662Z,0,91,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:23:04Z,preview,test,100.9,24a5,0,0,5593797,131.8,58.0,2023-10-09T08:23:04Z,5.0,91,100,20220424_152123_50_24a5
2022-04-24T15:21:25.817621Z,0,92,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:20:20Z,preview,test,100.9,24a5,0,0,5593797,131.6,58.0,2023-10-09T08:20:20Z,5.0,92,100,20220424_152125_81_24a5
2022-04-24T15:21:18.878744Z,0,89,100,0,0,False,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-10-09T08:20:12Z,preview,test,101.0,24a5,0,0,5593797,132.2,57.8,2023-10-09T08:20:12Z,5.0,86,100,20220424_152118_87_24a5
2022-04-27T15:39:01.384443Z,0,95,100,0,0,False,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-08T21:56:23Z,preview,test,99.7,2414,0,0,5600761,138.0,60.9,2023-10-08T21:56:23Z,5.1,95,100,20220427_153901_38_2414
2022-04-27T15:39:08.251559Z,0,95,100,0,0,False,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-08T21:55:33Z,preview,test,99.8,2414,0,0,5600761,137.4,61.1,2023-10-08T21:55:33Z,5.0,95,100,20220427_153908_25_2414
2022-04-27T15:39:05.962521Z,0,95,100,0,0,False,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-08T21:55:18Z,preview,test,99.6,2414,0,0,5600761,137.6,61.0,2023-10-08T21:55:18Z,5.0,95,100,20220427_153905_96_2414
2022-04-27T15:38:59.095405Z,0,95,100,0,0,False,4.0,0,PSB.SD,PSScene,0,3,planetscope,2023-10-08T21:54:35Z,preview,test,99.8,2414,0,0,5600761,138.3,60.8,2023-10-08T21:54:35Z,5.1,95,100,20220427_153859_09_2414
