acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2023-12-30T15:47:33.52783Z,0,95,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-31T05:18:20Z,finalized,test,262.3,2478,0,0,7005930,159.2,26.5,2023-12-31T13:41:17Z,0.7,73,100,20231230_154733_52_2478
2023-12-30T15:47:31.510803Z,0,93,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-31T05:17:00Z,finalized,test,263.2,2478,0,0,7005930,159.3,26.4,2023-12-31T11:06:31Z,0.7,72,100,20231230_154731_51_2478
2023-12-30T15:45:25.07893Z,0,92,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-30T21:23:53Z,finalized,standard,105.8,2470,0,0,7005513,159.3,26.5,2023-12-31T05:09:10Z,1.5,75,100,20231230_154525_07_2470
2023-12-25T15:07:11.290361Z,0,73,45,0,0,True,3.5,0,PSB.SD,PSScene,55,3,planetscope,2023-12-25T19:11:08Z,finalized,test,276.8,2430,0,0,6992947,150.2,22.9,2023-12-26T04:14:00Z,3.7,64,100,20231225_150711_29_2430
2023-12-21T15:45:23.099725Z,0,89,100,0,0,True,3.6,0,PSB.SD,PSScene,0,3,planetscope,2023-12-22T00:06:14Z,finalized,standard,115.6,2438,0,0,6983717,160.3,26.5,2023-12-22T09:58:11Z,0.6,89,100,20231221_154523_09_2438
2023-12-21T15:45:25.131476Z,0,90,100,0,0,True,3.6,0,PSB.SD,PSScene,0,3,planetscope,2023-12-22T00:05:51Z,finalized,standard,115.1,2438,0,0,6983717,160.2,26.6,2023-12-22T09:58:17Z,0.6,90,100,20231221_154525_13_2438
2023-12-21T15:05:37.577763Z,0,94,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-21T21:34:15Z,finalized,standard,100.9,2439,0,0,6983391,150.9,23.1,2023-12-22T05:11:21Z,4.8,72,100,20231221_150537_57_2439
2023-12-21T15:05:39.553588Z,0,96,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-21T21:33:23Z,finalized,standard,100.7,2439,0,0,6983391,150.9,23.2,2023-12-22T05:10:53Z,4.8,96,100,20231221_150539_55_2439
2023-12-20T15:02:51.711257Z,0,85,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-21T00:34:21Z,finalized,standard,277.3,2459,0,0,6981458,149.8,22.7,2023-12-21T09:59:11Z,4.6,70,100,20231220_150251_71_2459
2023-12-20T15:02:53.693813Z,0,89,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-20T22:19:16Z,finalized,standard,277.2,2459,0,0,6981458,149.8,22.8,2023-12-21T09:59:37Z,4.6,62,100,20231220_150253_69_2459
2023-12-20T15:48:48.190607Z,0,94,100,0,0,True,3.6,0,PSB.SD,PSScene,0,3,planetscope,2023-12-20T21:42:00Z,finalized,standard,274.3,2495,0,0,6981222,160.6,26.4,2023-12-21T04:05:02Z,1.7,72,100,20231220_154848_19_2495
2023-12-20T15:48:50.2297Z,0,96,100,0,0,True,3.6,0,PSB.SD,PSScene,0,3,planetscope,2023-12-20T21:41:23Z,finalized,standard,273.8,2495,0,0,6981222,160.6,26.5,2023-12-21T04:05:03Z,1.7,96,100,20231220_154850_22_2495
2023-12-19T15:05:40.926865Z,0,94,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-19T22:17:49Z,finalized,standard,101.0,241e,0,0,6978955,150.9,23.3,2023-12-20T09:58:09Z,4.9,94,100,20231219_150540_92_241e
2023-12-19T15:05:38.947898Z,0,94,100,0,0,True,3.5,0,PSB.SD,PSScene,0,3,planetscope,2023-12-19T22:17:41Z,finalized,standard,100.8,241e,0,0,6978955,151.0,23.2,2023-12-20T09:57:42Z,4.9,68,100,20231219_150538_94_241e
2023-12-19T15:00:36.241264Z,0,89,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-12-19T21:32:36Z,finalized,standard,101.9,24bb,0,0,6978528,150.1,23.0,2023-12-20T04:32:22Z,4.8,89,100,20231219_150036_24_24bb
2023-12-19T15:00:34.035107Z,0,86,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-12-19T21:32:33Z,finalized,standard,101.9,24bb,0,0,6978528,150.2,22.9,2023-12-20T04:32:21Z,4.8,86,100,20231219_150034_03_24bb
2023-12-18T15:06:05.744313Z,0,90,95,0,0,True,3.8,0,PSB.SD,PSScene,5,3,planetscope,2023-12-18T20:52:18Z,finalized,standard,277.7,2415,0,0,6976263,150.7,23.0,2023-12-19T03:58:21Z,3.8,75,100,20231218_150605_74_2415
2023-12-18T15:06:07.922178Z,0,94,99,0,0,True,3.8,0,PSB.SD,PSScene,1,3,planetscope,2023-12-18T20:51:54Z,finalized,standard,277.6,2415,0,0,6976263,150.6,23.1,2023-12-19T03:58:22Z,3.8,63,100,20231218_150607_92_2415
2023-12-18T15:43:07.425548Z,0,91,100,0,0,True,3.6,0,PSB.SD,PSScene,0,3,planetscope,2023-12-18T19:47:12Z,finalized,standard,100.5,2475,0,0,6976134,160.4,26.6,2023-12-19T04:25:34Z,5.0,91,100,20231218_154307_42_2475
2023-12-16T15:47:54.624712Z,0,94,100,0,0,True,3.1,0,PSB.SD,PSScene,0,3,planetscope,2023-12-17T00:29:21Z,finalized,standard,101.0,2251,0,0,6972076,161.5,26.8,2023-12-17T07:00:10Z,5.1,94,100,20231216_154754_62_2251
2023-12-16T15:47:56.339906Z,0,96,100,0,0,True,3.1,0,PSB.SD,PSScene,0,3,planetscope,2023-12-17T00:29:00Z,finalized,standard,101.0,2251,0,0,6972076,161.4,26.9,2023-12-17T07:00:10Z,5.1,96,100,20231216_154756_33_2251
2023-12-15T15:04:58.020886Z,0,95,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-12-15T23:04:48Z,finalized,standard,277.6,24b6,0,0,6968947,150.6,23.1,2023-12-16T09:59:50Z,4.4,71,100,20231215_150458_02_24b6
2023-12-15T15:04:55.813246Z,0,95,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-12-15T23:03:06Z,finalized,standard,277.7,24b6,0,0,6968947,150.7,23.0,2023-12-16T09:58:27Z,4.4,71,100,20231215_150455_81_24b6
2023-12-14T16:07:27.222517Z,0,95,100,0,0,True,3.1,0,PSB.SD,PSScene,0,3,planetscope,2023-12-15T02:30:17Z,finalized,standard,212.2,2414,0,0,6966593,166.1,28.1,2023-12-15T09:58:15Z,0.1,95,100,20231214_160727_22_2414
2023-12-14T16:07:23.741237Z,0,93,100,0,0,True,3.1,0,PSB.SD,PSScene,0,3,planetscope,2023-12-15T02:30:03Z,finalized,test,214.9,2414,0,0,6966593,166.1,27.9,2023-12-15T09:58:29Z,0.1,65,100,20231214_160723_74_2414
2023-12-14T16:07:25.481849Z,0,95,100,0,0,True,3.1,0,PSB.SD,PSScene,0,3,planetscope,2023-12-15T02:29:30Z,finalized,standard,213.5,2414,0,0,6966593,166.1,28.0,2023-12-15T09:58:18Z,0.2,95,100,20231214_160725_48_2414
2023-12-14T15:01:18.632282Z,0,90,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2023-12-14T22:05:37Z,finalized,standard,100.8,24ca,0,0,6966722,150.8,23.5,2023-12-15T04:50:21Z,5.0,68,100,20231214_150118_63_24ca
