acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2021-07-07T15:03:42.221519Z,0,80,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-06-02T02:10:45Z,finalized,standard,277.3,242b,0,0,4665943,109.6,58.7,2023-06-02T02:10:45Z,4.0,80,100,20210707_150342_22_242b
2021-07-07T15:03:37.617442Z,0,80,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2023-06-02T02:10:06Z,finalized,standard,277.5,242b,0,0,4665943,110.1,58.7,2023-06-02T02:10:06Z,4.0,80,100,20210707_150337_61_242b
2021-01-22T15:59:19.631398Z,0,96,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-15T13:04:30Z,finalized,standard,278.0,241c,0,0,4092069,158.0,29.8,2022-12-15T13:04:30Z,5.1,78,100,20210122_155919_63_241c
2021-01-30T16:00:13.352604Z,0,97,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-15T05:19:15Z,finalized,standard,278.2,227a,0,0,4114910,156.9,31.1,2022-12-15T05:19:15Z,4.9,75,100,20210130_160013_35_227a
2021-01-30T16:00:03.86924Z,0,95,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-15T05:19:15Z,finalized,standard,278.3,227a,0,0,4114910,157.2,30.6,2022-12-15T05:19:15Z,5.0,68,100,20210130_160003_86_227a
2021-01-30T15:54:04.998135Z,0,95,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T23:45:34Z,finalized,standard,101.8,2416,0,0,4115379,156.6,31.7,2022-12-14T23:45:34Z,4.0,70,100,20210130_155404_99_2416
2021-02-17T15:54:20.661931Z,0,96,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T19:33:38Z,finalized,standard,103.6,2407,0,0,4174898,154.1,36.9,2022-12-14T19:33:38Z,2.0,96,100,20210217_155420_66_2407
2021-02-17T15:54:18.380675Z,0,96,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T19:33:37Z,finalized,standard,104.0,2407,0,0,4174898,154.2,36.8,2022-12-14T19:33:37Z,2.0,96,100,20210217_155418_38_2407
2021-03-23T15:52:26.979131Z,0,88,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T15:33:23Z,finalized,standard,102.3,227b,0,0,4296652,149.5,49.3,2022-12-14T15:33:23Z,3.1,60,100,20210323_155226_97_227b
2021-01-10T15:14:13.488033Z,0,94,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T07:39:25Z,finalized,standard,183.1,2276,0,0,4059294,149.7,23.3,2022-12-14T07:39:25Z,0.1,67,100,20210110_151413_48_2276
2021-01-12T16:01:14.394454Z,0,95,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T07:14:42Z,finalized,standard,278.1,2426,0,0,4065049,159.9,27.6,2022-12-14T07:14:42Z,5.0,78,100,20210112_160114_39_2426
2021-01-22T16:01:54.278771Z,0,93,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T06:31:20Z,finalized,standard,278.4,2403,0,0,4092063,158.2,29.1,2022-12-14T06:31:20Z,5.1,74,100,20210122_160154_27_2403
2021-01-22T16:01:51.985646Z,0,92,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T06:31:20Z,finalized,standard,278.4,2403,0,0,4092063,158.3,28.9,2022-12-14T06:31:20Z,5.1,68,100,20210122_160151_98_2403
2021-01-12T15:59:08.758593Z,0,96,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T03:15:27Z,finalized,standard,278.0,2254,0,0,4065701,159.6,28.1,2022-12-14T03:15:27Z,5.1,74,100,20210112_155908_75_2254
2021-01-12T15:59:04.058535Z,0,96,100,0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-12-14T03:15:27Z,finalized,test,278.0,2254,0,0,4065701,159.7,27.8,2022-12-14T03:15:27Z,5.0,96,100,20210112_155904_05_2254
2021-01-10T15:57:46.853894Z,0,93,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T09:59:32Z,finalized,standard,100.9,240a,0,0,4059965,160.0,27.3,2022-12-13T09:59:32Z,5.0,66,100,20210110_155746_85_240a
2021-01-10T15:57:44.5048Z,0,92,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T09:59:32Z,finalized,standard,100.9,240a,0,0,4059965,160.1,27.1,2022-12-13T09:59:32Z,5.0,64,100,20210110_155744_50_240a
2021-01-15T15:59:33.681153Z,0,91,99,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-13T03:09:19Z,finalized,standard,273.6,2403,0,0,4073239,159.2,28.1,2022-12-13T03:09:19Z,1.0,65,100,20210115_155933_68_2403
2021-04-18T15:04:23.201413Z,0,95,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-11T15:31:12Z,finalized,standard,276.8,2420,0,0,4388706,126.9,52.0,2022-12-11T15:31:12Z,2.9,95,100,20210418_150423_20_2420
2021-05-04T15:04:39.065819Z,0,95,100,0,0,True,3.7,0,PSB.SD,PSScene,0,3,planetscope,2022-12-11T06:25:03Z,finalized,standard,188.8,222b,0,0,4443520,122.1,56.3,2022-12-11T06:25:03Z,0.2,95,100,20210504_150439_06_222b
2021-04-21T15:04:26.857714Z,0,88,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-11T06:23:44Z,finalized,standard,274.8,2458,0,0,4398537,125.8,53.1,2022-12-11T06:23:44Z,2.0,86,100,20210421_150426_85_2458
2021-04-21T15:04:24.535647Z,0,87,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-11T06:23:44Z,finalized,standard,274.7,2458,0,0,4398537,126.0,53.0,2022-12-11T06:23:44Z,2.0,87,100,20210421_150424_53_2458
2021-06-07T15:51:32.964871Z,0,76,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-11T01:35:25Z,finalized,standard,103.4,240a,0,0,4561795,129.8,68.3,2022-12-11T01:35:25Z,2.0,58,100,20210607_155132_96_240a
2021-06-06T15:02:09.477422Z,0,93,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-08T03:09:42Z,finalized,standard,102.0,2235,0,0,4557742,111.2,60.3,2022-12-08T03:09:42Z,3.0,93,100,20210606_150209_47_2235
2021-06-30T15:12:12.458181Z,0,96,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-07T09:47:12Z,finalized,standard,101.2,2231,0,0,4641412,112.6,61.4,2022-12-07T09:47:12Z,5.0,96,100,20210630_151212_45_2231
2021-06-30T15:12:10.247269Z,0,95,100,0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-12-07T09:47:12Z,finalized,standard,101.3,2231,0,0,4641412,112.9,61.3,2022-12-07T09:47:12Z,5.0,95,100,20210630_151210_24_2231
2021-07-06T15:03:59.293736Z,0,83,100,0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T19:56:10Z,finalized,standard,277.3,2457,0,0,4663278,110.4,58.8,2022-12-05T19:56:10Z,5.1,83,100,20210706_150359_29_2457
2021-07-16T15:49:57.617596Z,0,89,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T12:53:32Z,finalized,standard,103.8,2403,0,0,4697474,127.8,66.3,2022-12-05T12:53:32Z,2.0,81,100,20210716_154957_61_2403
2021-07-16T15:49:55.322838Z,0,90,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T12:53:32Z,finalized,standard,103.8,2403,0,0,4697474,128.1,66.2,2022-12-05T12:53:32Z,2.0,90,100,20210716_154955_32_2403
2021-07-16T15:49:53.028079Z,0,93,100,0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T12:53:32Z,finalized,standard,103.7,2403,0,0,4697474,128.4,66.1,2022-12-05T12:53:32Z,2.0,93,100,20210716_154953_02_2403
2021-07-07T15:02:54.670318Z,0,87,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T12:42:59Z,finalized,standard,100.9,2223,0,0,4665932,110.6,59.0,2022-12-05T12:42:59Z,5.0,71,100,20210707_150254_67_2223
2021-07-07T15:02:52.459406Z,0,88,100,0,0,True,3.8,0,PSB.SD,PSScene,0,3,planetscope,2022-12-05T12:42:59Z,finalized,standard,100.9,2223,0,0,4665932,110.8,59.0,2022-12-05T12:42:59Z,5.0,72,100,20210707_150252_45_2223
