acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id
2023-12-15T16:04:27.963843Z,0,95.0,100.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,0.0,3,planetscope,2024-02-21T16:23:12Z,finalized,standard,275.2,24fc,0.0,0.0,6968889,164.5,27.4,2024-02-21T16:23:12Z,2.1,95.0,100.0,20231215_160427_96_24fc
2023-12-15T16:04:25.679664Z,0,,,0,,True,4.0,,PSB.SD,PSScene,,3,planetscope,2024-02-21T16:23:12Z,finalized,standard,275.5,24fc,,,6968889,164.6,27.2,2024-02-21T16:23:12Z,2.1,,,20231215_160425_67_24fc
2023-12-15T16:04:23.395481Z,0,,,0,,True,4.0,,PSB.SD,PSScene,,3,planetscope,2024-02-21T16:23:12Z,finalized,standard,275.4,24fc,,,6968889,164.6,27.1,2024-02-21T16:23:12Z,2.1,,,20231215_160423_39_24fc
2023-10-19T15:45:49.583117Z,0,85.0,61.0,0,0.0,False,3.7,0.0,PSB.SD,PSScene,39.0,3,planetscope,2024-02-21T08:36:18Z,preview,test,276.4,2490,0.0,0.0,6845331,157.9,39.4,2024-02-21T08:36:18Z,3.1,68.0,100.0,20231019_154549_58_2490
2023-11-17T16:01:55.460772Z,0,,,0,,True,4.0,,PSB.SD,PSScene,,3,planetscope,2024-02-20T18:00:06Z,finalized,test,210.5,24f5,,,6905857,166.2,32.1,2024-02-20T18:00:06Z,0.1,,,20231117_160155_46_24f5
2023-12-08T16:03:19.490521Z,0,84.0,77.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,23.0,3,planetscope,2024-02-14T15:36:17Z,finalized,standard,107.8,24eb,0.0,0.0,6951959,165.2,28.1,2024-02-14T15:36:17Z,1.1,79.0,100.0,20231208_160319_49_24eb
2023-12-08T16:03:17.210939Z,0,76.0,37.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,63.0,3,planetscope,2024-02-14T15:36:17Z,finalized,standard,107.7,24eb,0.0,0.0,6951959,165.3,27.9,2024-02-14T15:36:17Z,1.1,67.0,100.0,20231208_160317_21_24eb
2023-12-08T16:03:14.931356Z,0,73.0,32.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,68.0,3,planetscope,2024-02-14T15:36:17Z,finalized,standard,107.9,24eb,0.0,0.0,6951959,165.3,27.8,2024-02-14T15:36:17Z,1.1,73.0,100.0,20231208_160314_93_24eb
2023-10-19T15:45:51.663116Z,0,90.0,89.0,0,0.0,False,3.7,0.0,PSB.SD,PSScene,11.0,3,planetscope,2024-02-14T04:32:31Z,preview,test,276.4,2490,0.0,0.0,6845331,157.8,39.5,2024-02-14T04:32:31Z,3.1,68.0,100.0,20231019_154551_66_2490
2023-11-24T16:03:03.249264Z,0,69.0,21.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,79.0,3,planetscope,2024-02-09T17:45:55Z,finalized,standard,101.2,24d3,0.0,0.0,6920499,166.2,30.1,2024-02-09T17:45:55Z,4.9,67.0,100.0,20231124_160303_24_24d3
2023-12-08T16:05:45.727107Z,0,81.0,76.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,24.0,3,planetscope,2024-02-08T22:28:29Z,finalized,standard,122.9,24cb,0.0,0.0,6952329,165.4,27.6,2024-02-08T22:28:29Z,0.4,71.0,100.0,20231208_160545_72_24cb
2023-12-08T16:05:48.010296Z,0,76.0,64.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,36.0,3,planetscope,2024-02-08T22:28:28Z,finalized,standard,122.0,24cb,0.0,0.0,6952329,165.4,27.7,2024-02-08T22:28:28Z,0.4,69.0,100.0,20231208_160548_01_24cb
2023-12-30T15:47:33.52783Z,0,95.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-31T05:18:20Z,finalized,test,262.3,2478,0.0,0.0,7005930,159.2,26.5,2023-12-31T13:41:17Z,0.7,73.0,100.0,20231230_154733_52_2478
2023-12-30T15:47:29.493775Z,0,93.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-31T05:18:05Z,finalized,test,262.9,2478,0.0,0.0,7005930,159.3,26.3,2023-12-31T13:41:17Z,0.7,69.0,100.0,20231230_154729_49_2478
2023-12-30T15:47:31.510803Z,0,93.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-31T05:17:00Z,finalized,test,263.2,2478,0.0,0.0,7005930,159.3,26.4,2023-12-31T11:06:31Z,0.7,72.0,100.0,20231230_154731_51_2478
2023-12-30T15:47:27.476748Z,0,93.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-31T05:16:52Z,finalized,test,263.5,2478,0.0,0.0,7005930,159.4,26.2,2023-12-31T13:41:17Z,0.7,93.0,100.0,20231230_154727_47_2478
2023-12-30T15:03:20.806269Z,0,95.0,100.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T22:39:55Z,finalized,standard,100.9,24c1,0.0,0.0,7005415,149.1,22.3,2023-12-31T05:08:24Z,5.1,72.0,100.0,20231230_150320_80_24c1
2023-12-30T15:03:23.039999Z,0,96.0,100.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T22:39:18Z,finalized,standard,101.0,24c1,0.0,0.0,7005415,149.1,22.4,2023-12-31T05:08:24Z,5.1,96.0,100.0,20231230_150323_03_24c1
2023-12-30T15:03:25.273729Z,0,95.0,100.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T22:38:23Z,finalized,standard,100.9,24c1,0.0,0.0,7005415,149.0,22.5,2023-12-31T05:08:24Z,5.1,95.0,100.0,20231230_150325_27_24c1
2023-12-30T14:36:17.444057Z,0,94.0,100.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T17:18:06Z,finalized,standard,113.1,2445,0.0,0.0,7005136,142.6,18.8,2023-12-31T05:15:51Z,0.6,70.0,100.0,20231230_143617_44_2445
2023-12-30T14:36:19.633826Z,0,95.0,100.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T17:18:04Z,finalized,standard,114.2,2445,0.0,0.0,7005136,142.6,18.9,2023-12-31T05:15:58Z,0.6,95.0,100.0,20231230_143619_63_2445
2023-12-30T14:36:15.254233Z,0,91.0,100.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-30T17:17:32Z,finalized,standard,113.3,2445,0.0,0.0,7005136,142.7,18.7,2023-12-31T05:15:32Z,0.6,61.0,100.0,20231230_143615_25_2445
2023-12-29T15:02:06.025831Z,0,83.0,98.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,2.0,3,planetscope,2023-12-29T22:03:46Z,finalized,test,268.8,2455,0.0,0.0,7003067,148.9,22.4,2023-12-30T05:15:39Z,1.1,59.0,100.0,20231229_150206_02_2455
2023-12-25T15:47:47.013217Z,0,88.0,84.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,16.0,3,planetscope,2023-12-25T23:21:26Z,finalized,standard,102.0,247d,0.0,0.0,6993231,160.1,26.1,2023-12-26T09:58:07Z,3.2,75.0,100.0,20231225_154747_01_247d
2023-12-25T15:47:53.104427Z,0,86.0,78.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,22.0,3,planetscope,2023-12-25T23:20:27Z,finalized,standard,102.0,247d,0.0,0.0,6993231,160.0,26.4,2023-12-26T09:57:43Z,3.2,79.0,100.0,20231225_154753_10_247d
2023-12-25T15:07:09.746714Z,0,67.0,19.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,81.0,3,planetscope,2023-12-25T21:07:57Z,finalized,standard,216.1,24cc,0.0,0.0,6993128,149.8,22.5,2023-12-26T07:46:50Z,0.2,72.0,100.0,20231225_150709_74_24cc
2023-12-25T15:07:02.258186Z,0,76.0,53.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,47.0,3,planetscope,2023-12-25T20:49:09Z,finalized,standard,277.8,24b5,0.0,0.0,6993106,149.8,22.3,2023-12-26T03:57:51Z,5.0,72.0,100.0,20231225_150702_25_24b5
2023-12-25T15:07:06.679418Z,0,71.0,27.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,72.0,3,planetscope,2023-12-25T20:48:49Z,finalized,test,277.8,24b5,0.0,0.0,6993106,149.7,22.5,2023-12-26T03:58:06Z,5.0,64.0,100.0,20231225_150706_67_24b5
2023-12-25T15:07:04.468829Z,0,75.0,48.0,0,0.0,True,3.9,0.0,PSB.SD,PSScene,52.0,3,planetscope,2023-12-25T20:46:33Z,finalized,standard,277.8,24b5,0.0,0.0,6993106,149.8,22.4,2023-12-26T03:59:46Z,5.0,71.0,100.0,20231225_150704_46_24b5
2023-12-25T15:07:11.290361Z,0,73.0,45.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,55.0,3,planetscope,2023-12-25T19:11:08Z,finalized,test,276.8,2430,0.0,0.0,6992947,150.2,22.9,2023-12-26T04:14:00Z,3.7,64.0,100.0,20231225_150711_29_2430
2023-12-22T15:50:57.941907Z,0,93.0,98.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,2.0,3,planetscope,2023-12-23T01:12:29Z,finalized,standard,276.9,247d,0.0,0.0,6986396,160.6,25.9,2023-12-23T09:58:14Z,3.2,70.0,100.0,20231222_155057_94_247d
2023-12-22T15:50:59.977954Z,0,89.0,98.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,2.0,3,planetscope,2023-12-23T01:12:07Z,finalized,standard,277.0,247d,0.0,0.0,6986396,160.5,26.0,2023-12-23T09:58:35Z,3.2,71.0,100.0,20231222_155059_97_247d
2023-12-22T15:09:20.89692Z,0,90.0,90.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,10.0,3,planetscope,2023-12-22T22:18:32Z,finalized,standard,106.1,24c5,0.0,0.0,6986266,150.4,22.2,2023-12-23T09:58:09Z,1.4,70.0,100.0,20231222_150920_89_24c5
2023-12-22T15:09:18.686997Z,0,91.0,92.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,8.0,3,planetscope,2023-12-22T22:18:09Z,finalized,standard,105.9,24c5,0.0,0.0,6986266,150.5,22.1,2023-12-23T09:58:14Z,1.4,74.0,100.0,20231222_150918_68_24c5
2023-12-22T15:09:23.106844Z,0,90.0,92.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,8.0,3,planetscope,2023-12-22T22:17:27Z,finalized,standard,106.3,24c5,0.0,0.0,6986266,150.3,22.3,2023-12-23T09:58:33Z,1.4,78.0,100.0,20231222_150923_10_24c5
2023-12-22T16:03:45.042086Z,0,84.0,76.0,0,0.0,True,4.0,0.0,PSB.SD,PSScene,24.0,3,planetscope,2023-12-22T21:56:11Z,finalized,test,277.8,24eb,0.0,0.0,6986156,163.8,26.8,2023-12-23T06:57:59Z,5.0,76.0,100.0,20231222_160345_04_24eb
2023-12-22T15:50:21.347583Z,0,93.0,99.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,1.0,3,planetscope,2023-12-22T21:53:37Z,finalized,standard,277.3,241c,0.0,0.0,6986068,159.7,25.6,2023-12-23T07:36:24Z,3.8,81.0,100.0,20231222_155021_34_241c
2023-12-22T15:50:17.311698Z,0,88.0,93.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,7.0,3,planetscope,2023-12-22T21:46:48Z,finalized,standard,277.4,241c,0.0,0.0,6986068,159.8,25.4,2023-12-23T07:36:46Z,3.9,73.0,100.0,20231222_155017_31_241c
2023-12-22T15:50:19.329668Z,0,88.0,94.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,6.0,3,planetscope,2023-12-22T21:46:45Z,finalized,standard,277.4,241c,0.0,0.0,6986068,159.8,25.5,2023-12-23T07:36:34Z,3.9,74.0,100.0,20231222_155019_32_241c
2023-12-21T15:50:39.009645Z,0,96.0,100.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:07:12Z,finalized,standard,277.8,24a4,0.0,0.0,6983993,160.1,25.9,2023-12-22T09:58:06Z,5.0,77.0,100.0,20231221_155039_00_24a4
2023-12-21T15:50:36.973101Z,0,95.0,100.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:06:40Z,finalized,standard,277.8,24a4,0.0,0.0,6983993,160.1,25.8,2023-12-22T09:57:55Z,5.0,70.0,100.0,20231221_155036_97_24a4
2023-12-21T15:50:32.90007Z,0,93.0,100.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:06:19Z,finalized,test,277.8,24a4,0.0,0.0,6983993,160.2,25.6,2023-12-22T09:58:17Z,5.0,69.0,100.0,20231221_155032_90_24a4
2023-12-21T15:50:34.936613Z,0,95.0,100.0,0,0.0,True,3.6,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:05:49Z,finalized,standard,277.8,24a4,0.0,0.0,6983993,160.2,25.7,2023-12-22T09:58:03Z,5.0,74.0,100.0,20231221_155034_93_24a4
2023-12-21T15:08:42.885308Z,0,92.0,100.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:05:47Z,finalized,test,255.9,24c4,0.0,0.0,6983543,150.4,22.2,2023-12-22T05:23:39Z,0.4,82.0,100.0,20231221_150842_88_24c4
2023-12-21T15:08:47.281833Z,0,95.0,99.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,1.0,3,planetscope,2023-12-21T23:05:42Z,finalized,standard,259.5,24c4,0.0,0.0,6983543,150.3,22.4,2023-12-22T05:23:58Z,0.4,79.0,100.0,20231221_150847_28_24c4
2023-12-21T15:08:45.083598Z,0,93.0,100.0,0,0.0,True,3.8,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T23:05:04Z,finalized,standard,260.2,24c4,0.0,0.0,6983543,150.4,22.3,2023-12-22T05:23:52Z,0.4,73.0,100.0,20231221_150845_08_24c4
2023-12-21T15:05:37.577763Z,0,94.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:34:15Z,finalized,standard,100.9,2439,0.0,0.0,6983391,150.9,23.1,2023-12-22T05:11:21Z,4.8,72.0,100.0,20231221_150537_57_2439
2023-12-21T15:05:35.601993Z,0,94.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:33:41Z,finalized,standard,100.8,2439,0.0,0.0,6983391,151.0,23.0,2023-12-22T05:11:02Z,4.8,69.0,100.0,20231221_150535_60_2439
2023-12-21T15:05:39.553588Z,0,96.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:33:23Z,finalized,standard,100.7,2439,0.0,0.0,6983391,150.9,23.2,2023-12-22T05:10:53Z,4.8,96.0,100.0,20231221_150539_55_2439
2023-12-21T15:05:33.626223Z,0,95.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:33:20Z,finalized,standard,100.9,2439,0.0,0.0,6983391,151.0,22.9,2023-12-22T05:11:06Z,4.8,95.0,100.0,20231221_150533_62_2439
2023-12-21T15:08:44.397713Z,0,95.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:15:57Z,finalized,standard,102.9,242d,0.0,0.0,6983567,151.1,23.1,2023-12-22T05:10:25Z,2.1,95.0,100.0,20231221_150844_39_242d
2023-12-21T15:08:42.409292Z,0,95.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:15:10Z,finalized,standard,103.0,242d,0.0,0.0,6983567,151.1,23.0,2023-12-22T05:09:17Z,2.1,95.0,100.0,20231221_150842_40_242d
2023-12-21T15:08:40.420871Z,0,95.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T21:15:04Z,finalized,standard,103.1,242d,0.0,0.0,6983567,151.2,22.9,2023-12-22T05:10:28Z,2.1,70.0,100.0,20231221_150840_42_242d
2023-12-09T15:07:52.089072Z,0,84.0,87.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,12.0,3,planetscope,2023-12-21T03:43:56Z,finalized,standard,105.6,2464,0.0,0.0,6981422,151.7,23.3,2024-01-02T22:19:57Z,2.0,70.0,100.0,20231209_150752_08_2464
2023-12-09T15:07:54.073214Z,0,90.0,98.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,2.0,3,planetscope,2023-12-21T03:43:42Z,finalized,standard,105.8,2464,0.0,0.0,6981422,151.6,23.4,2024-01-02T22:19:57Z,1.9,67.0,100.0,20231209_150754_07_2464
2023-12-09T15:07:56.057356Z,0,92.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T03:43:27Z,finalized,standard,105.7,2464,0.0,0.0,6981422,151.6,23.5,2024-01-02T22:19:57Z,1.9,75.0,100.0,20231209_150756_05_2464
2023-12-20T15:02:51.711257Z,0,85.0,100.0,0,0.0,True,3.5,0.0,PSB.SD,PSScene,0.0,3,planetscope,2023-12-21T00:34:21Z,finalized,standard,277.3,2459,0.0,0.0,6981458,149.8,22.7,2023-12-21T09:59:11Z,4.6,70.0,100.0,20231220_150251_71_2459
